survey_id,Date,ANI,DNIS,channel,product,state,call_transcrpt,all_topics_discussed,supporting_quote,ai_topic_reasoning,customer_sentiment,process_time,model_version
S069,24/04/2025,0466 777 237,0491 979 106,Phone,Ambulance Cover,SA,"I faced a rude staff recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Rude staff experience', 'Confusing process', 'Slow service']",I faced a rude staff recently and it caused significant inconvenience.,"The comment highlights issues with staff behavior and the inefficiency of the processes, leading to a frustrating experience.",Negative,2025-11-18T21:48:52,gpt-4o-mini
S070,15/09/2025,0485 611 866,0414 581 754,Phone,Ambulance Cover,QLD,"Although the product itself is fine, the double charge made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Double charge issue', 'Need for smoother interactions']",the double charge made the experience unpleasant. I hope future interactions can be smoother,The customer experienced a billing error that impacted their satisfaction and desires improved future interactions.,Negative,2025-11-18T21:48:54,gpt-4o-mini
S071,5/08/2025,0428 188 871,0483 486 540,Branch,Ambulance Cover,QLD,The overall experience was not great due to a account locked. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Account lock issues', 'Poor service quality', 'Unresolved support']",The overall experience was not great due to a account locked.,"The customer faced an issue with their account being locked, leading to dissatisfaction with the service provided and repeated support contacts.",Negative,2025-11-18T21:48:58,gpt-4o-mini
S072,21/06/2025,0466 290 172,0422 149 573,Email,Combined,NT,"I am quite frustrated with how the poor product quality was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Poor product quality handling', 'Long resolution time', 'Unclear communication from support']",I am quite frustrated with how the poor product quality was handled.,"The customer expresses frustration over the handling of product quality issues, highlighting delays and communication problems.",Negative,2025-11-18T21:49:01,gpt-4o-mini
S073,28/08/2025,0498 492 864,0431 323 639,Phone,Combined,SA,"I am quite neutral with how the long waiting time was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Long waiting time', 'Unclear communication from support']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.",The customer expresses neutrality about the waiting time but highlights issues with communication clarity and resolution speed.,Neutral,2025-11-18T21:49:04,gpt-4o-mini
S074,28/04/2025,0450 776 633,0490 514 431,Email,Extras,SA,"I am quite neutral with how the double charge was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Double charge issue', 'Slow resolution time', 'Unclear communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.",The customer expresses neutrality regarding the handling of a double charge but highlights issues with slow resolution and communication clarity.,Neutral,2025-11-18T21:49:07,gpt-4o-mini
S075,28/07/2025,0497 103 796,0466 396 549,Mobile App,Combined,NT,"I am quite angry with how the delivery delay was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Delivery delay handling', 'Long resolution time', 'Unclear communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.",The customer expresses frustration with the delivery delay and the lack of clarity in communication from support.,Negative,2025-11-18T21:49:10,gpt-4o-mini
S076,27/06/2025,0412 654 377,0493 621 992,Branch,Hospital,ACT,"I'm frustrated about how my long waiting time was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Long waiting time', 'Lack of escalation process', 'Poor accountability']",I'm frustrated about how my long waiting time was addressed.,"The comment expresses frustration over the handling of a long waiting time, indicating that there are issues with escalation and accountability.",Negative,2025-11-18T21:49:12,gpt-4o-mini
S077,1/08/2025,0453 900 787,0416 157 888,Mobile App,Travel,SA,"Although the product itself is fine, the system crash made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['System crash', 'Unpleasant experience', 'Need for improved efficiency']",the system crash made the experience unpleasant.,The comment highlights an issue with a system crash that negatively affected the user experience and expresses hope for better efficiency in the future.,Negative,2025-11-18T21:49:15,gpt-4o-mini
S078,24/05/2025,0489 377 119,0411 741 319,Phone,Ambulance Cover,TAS,"I faced a long waiting time recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Long waiting time', 'Confusing process', 'Slow service']",I faced a long waiting time recently and it caused significant inconvenience.,"The customer experienced delays and frustration due to the inefficiency of the service process, which negatively impacted their overall experience.",Negative,2025-11-18T21:49:18,gpt-4o-mini
S079,23/09/2025,0436 401 685,0465 964 601,Email,Travel,VIC,The overall experience was not great due to a poor product quality. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Poor product quality', 'Unresolved support issues', 'Unsatisfactory service quality']",The overall experience was not great due to a poor product quality.,"The customer expresses dissatisfaction with product quality and service support, indicating repeated attempts to resolve issues without success.",Negative,2025-11-18T21:49:20,gpt-4o-mini
S080,18/07/2025,0441 647 566,0403 682 765,Email,Ambulance Cover,QLD,"I'm annoyed about how my unhelpful agent was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Unhelpful customer service', 'Lack of escalation process', 'No accountability within team']",I'm annoyed about how my unhelpful agent was addressed.,The customer expressed frustration with the service received and the absence of a clear escalation method for issues.,Negative,2025-11-18T21:49:23,gpt-4o-mini
S081,28/07/2025,0494 928 511,0412 481 527,Email,Ambulance Cover,TAS,"I am quite disappointed with how the system crash was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Disappointing system crash handling', 'Long resolution time', 'Lack of clear communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer expresses dissatisfaction with the handling of a system crash, highlighting slow resolution and poor communication.",Negative,2025-11-18T21:49:26,gpt-4o-mini
S082,10/07/2025,0478 380 655,0409 416 989,Phone,Ambulance Cover,VIC,"Although the product itself is fine, the unhelpful agent made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Unhelpful agent', 'Unpleasant experience', 'Need for smoother interactions']",the unhelpful agent made the experience unpleasant.,The comment indicates dissatisfaction with the service provided by the agent despite being satisfied with the product itself.,Negative,2025-11-18T21:49:29,gpt-4o-mini
S083,17/04/2025,0455 214 592,0423 138 435,Phone,Hospital,VIC,"I faced a unclear instructions recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Unclear instructions', 'Confusing process', 'Slow service']","the process was confusing and slow, making the whole experience frustrating.","The customer experienced difficulty due to lack of clear guidance, leading to frustration with the service speed.",Negative,2025-11-18T21:49:32,gpt-4o-mini
S084,3/09/2025,0464 489 697,0485 247 584,Email,Extras,NT,"Although the product itself is fine, the poor product quality made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Poor product quality', 'Unpleasant experience', 'Need for smoother interactions']",the poor product quality made the experience unpleasant.,"The customer indicates dissatisfaction with product quality and overall experience, hoping for improvements.",Negative,2025-11-18T21:49:35,gpt-4o-mini
S085,23/05/2025,0401 481 476,0459 929 128,Mobile App,Combined,TAS,The overall experience was not great due to a delivery delay. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Delivery delay', 'Poor customer support', 'Unresolved issues', 'Low service quality']",The overall experience was not great due to a delivery delay.,"The customer experienced issues with delivery and inadequate support, leading to dissatisfaction.",Negative,2025-11-18T21:49:37,gpt-4o-mini
S086,1/06/2025,0482 576 925,0411 146 906,Phone,Travel,VIC,"I faced a unhelpful agent recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Unhelpful customer service agent', 'Confusing process', 'Slow experience']",I faced a unhelpful agent recently and it caused significant inconvenience.,"The customer expresses frustration with the service provided by the agent and the overall process, indicating a need for better training and efficiency.",Negative,2025-11-18T21:49:40,gpt-4o-mini
S087,4/10/2025,0491 912 609,0421 771 555,Branch,Extras,NSW,"Although the product itself is fine, the long waiting time made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Long waiting time', 'Unpleasant experience', 'Need for smoother interactions']",the long waiting time made the experience unpleasant.,"The customer is dissatisfied with the waiting time, impacting their overall experience. They desire improvements for future interactions.",Negative,2025-11-18T21:49:43,gpt-4o-mini
S088,28/09/2025,0456 934 637,0401 396 936,Branch,Hospital,TAS,The overall experience was not great due to a website bug. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Website bug issues', 'Poor customer support', 'Unresolved problems', 'Low service quality']",The overall experience was not great due to a website bug.,"The customer faced technical issues with the website and experienced inadequate support, leading to dissatisfaction with service quality.",Negative,2025-11-18T21:49:45,gpt-4o-mini
S089,15/08/2025,0498 244 797,0434 923 428,Phone,Travel,TAS,"I faced a miscommunication recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Miscommunication issues', 'Confusing process', 'Slow service']","the process was confusing and slow, making the whole experience frustrating.","The customer experienced miscommunication that led to frustration, highlighting issues in both clarity and efficiency of service.",Negative,2025-11-18T21:49:48,gpt-4o-mini
S090,1/08/2025,0442 599 689,0489 768 114,Mobile App,Combined,NT,"I'm constructive about how my website bug was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Website bug resolution', 'Lack of escalation process', 'Accountability issues']",It seems like there is no proper escalation process or accountability within the team.,The comment highlights a positive note about bug resolution but points out significant process inefficiencies.,Negative,2025-11-18T21:49:51,gpt-4o-mini
S091,3/07/2025,0448 873 714,0441 120 431,Branch,Combined,NT,"I'm constructive about how my miscommunication was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Miscommunication resolution', 'Lack of escalation process', 'Accountability issues']","It seems like there is no proper escalation process or accountability within the team, which made things worse.",The customer appreciates the handling of miscommunication but highlights systemic issues with escalation and accountability that need to be addressed.,Negative,2025-11-18T21:49:55,gpt-4o-mini
S092,4/09/2025,0498 256 739,0468 592 807,Phone,Combined,NT,"I'm frustrated about how my poor product quality was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Poor product quality', 'Lack of escalation process', 'No accountability within team']",I'm frustrated about how my poor product quality was addressed.,"The customer expresses frustration regarding inadequate handling of product quality issues, highlighting systemic flaws in escalation and accountability.",Negative,2025-11-18T21:49:58,gpt-4o-mini
S093,5/06/2025,0426 209 693,0469 388 430,Web,Hospital,NT,"Although the product itself is fine, the unclear instructions made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Unclear instructions', 'Unpleasant experience', 'Need for smoother interactions']",the unclear instructions made the experience unpleasant.,"The comment highlights the difficulty caused by insufficient guidance, impacting overall satisfaction. The request for improved future interactions suggests a desire for better customer support.",Negative,2025-11-18T21:50:01,gpt-4o-mini
S094,1/09/2025,0493 985 332,0494 739 269,Web,Combined,WA,"I faced a wrong item sent recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating. My name is daniel yu","['Wrong item sent', 'Confusing process', 'Slow resolution', 'Significant inconvenience']",I faced a wrong item sent recently and it caused significant inconvenience.,"The customer experienced a wrong item delivery, which led to frustration due to confusion and delays in resolving the issue.",Negative,2025-11-18T21:50:05,gpt-4o-mini
S095,15/08/2025,0458 316 545,0420 171 776,Branch,Extras,NSW,"I faced a no follow up recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Lack of follow-up', 'Confusing process', 'Slow service']","the process was confusing and slow, making the whole experience frustrating.","The customer experienced a lack of communication and slow responses, which contributed to their frustration.",Negative,2025-11-18T21:50:08,gpt-4o-mini
S096,26/06/2025,0409 819 859,0422 450 873,Mobile App,Ambulance Cover,NT,"Although the product itself is fine, the delivery delay made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Delivery delay', 'Unpleasant experience', 'Need for efficiency']",the delivery delay made the experience unpleasant.,The customer acknowledges the product quality but highlights issues with delivery that impacted their overall satisfaction.,Negative,2025-11-18T21:50:11,gpt-4o-mini
S097,11/08/2025,0456 460 400,0430 706 991,Mobile App,Extras,WA,The overall experience was not great due to a damaged parcel. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Damaged parcel', 'Poor customer support', 'Unresolved issue', 'Expectation of better service']",The overall experience was not great due to a damaged parcel.,The customer expresses dissatisfaction with the condition of their parcel and the inadequacy of support in resolving the issue.,Negative,2025-11-18T21:50:14,gpt-4o-mini
S098,29/06/2025,0436 701 726,0473 422 509,Mobile App,Travel,TAS,"I am quite disappointed with how the system crash was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough. My home address is in spring street melbourne","['Poor system crash handling', 'Delayed resolution', 'Unclear communication from support']",I am quite disappointed with how the system crash was handled.,"The customer expresses disappointment in the handling of a system crash, specifically noting delays and poor communication.",Negative,2025-11-18T21:50:16,gpt-4o-mini
S099,31/05/2025,0418 963 202,0481 982 548,Email,Hospital,SA,"I am quite disappointed with how the refund process was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Disappointing refund process', 'Long resolution time', 'Unclear communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.",The survey comment highlights dissatisfaction with the efficiency and clarity of the refund process.,Negative,2025-11-18T21:50:19,gpt-4o-mini
S100,26/06/2025,45435312,0444 673 193,Mobile App,Combined,WA,"I'm disappointed about how my missing item was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Disappointing handling of missing item', 'Lack of escalation process', 'Poor accountability in team']",It seems like there is no proper escalation process or accountability within the team.,The customer is unhappy with the response to their missing item and highlights issues with escalation and accountability.,Negative,2025-11-18T21:50:22,gpt-4o-mini
